"행정구역","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_남_1세","2022년08월_남_2세","2022년08월_남_3세","2022년08월_남_4세","2022년08월_남_5세","2022년08월_남_6세","2022년08월_남_7세","2022년08월_남_8세","2022년08월_남_9세","2022년08월_남_10세","2022년08월_남_11세","2022년08월_남_12세","2022년08월_남_13세","2022년08월_남_14세","2022년08월_남_15세","2022년08월_남_16세","2022년08월_남_17세","2022년08월_남_18세","2022년08월_남_19세","2022년08월_남_20세","2022년08월_남_21세","2022년08월_남_22세","2022년08월_남_23세","2022년08월_남_24세","2022년08월_남_25세","2022년08월_남_26세","2022년08월_남_27세","2022년08월_남_28세","2022년08월_남_29세","2022년08월_남_30세","2022년08월_남_31세","2022년08월_남_32세","2022년08월_남_33세","2022년08월_남_34세","2022년08월_남_35세","2022년08월_남_36세","2022년08월_남_37세","2022년08월_남_38세","2022년08월_남_39세","2022년08월_남_40세","2022년08월_남_41세","2022년08월_남_42세","2022년08월_남_43세","2022년08월_남_44세","2022년08월_남_45세","2022년08월_남_46세","2022년08월_남_47세","2022년08월_남_48세","2022년08월_남_49세","2022년08월_남_50세","2022년08월_남_51세","2022년08월_남_52세","2022년08월_남_53세","2022년08월_남_54세","2022년08월_남_55세","2022년08월_남_56세","2022년08월_남_57세","2022년08월_남_58세","2022년08월_남_59세","2022년08월_남_60세","2022년08월_남_61세","2022년08월_남_62세","2022년08월_남_63세","2022년08월_남_64세","2022년08월_남_65세","2022년08월_남_66세","2022년08월_남_67세","2022년08월_남_68세","2022년08월_남_69세","2022년08월_남_70세","2022년08월_남_71세","2022년08월_남_72세","2022년08월_남_73세","2022년08월_남_74세","2022년08월_남_75세","2022년08월_남_76세","2022년08월_남_77세","2022년08월_남_78세","2022년08월_남_79세","2022년08월_남_80세","2022년08월_남_81세","2022년08월_남_82세","2022년08월_남_83세","2022년08월_남_84세","2022년08월_남_85세","2022년08월_남_86세","2022년08월_남_87세","2022년08월_남_88세","2022년08월_남_89세","2022년08월_남_90세","2022년08월_남_91세","2022년08월_남_92세","2022년08월_남_93세","2022년08월_남_94세","2022년08월_남_95세","2022년08월_남_96세","2022년08월_남_97세","2022년08월_남_98세","2022년08월_남_99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세","2022년08월_여_1세","2022년08월_여_2세","2022년08월_여_3세","2022년08월_여_4세","2022년08월_여_5세","2022년08월_여_6세","2022년08월_여_7세","2022년08월_여_8세","2022년08월_여_9세","2022년08월_여_10세","2022년08월_여_11세","2022년08월_여_12세","2022년08월_여_13세","2022년08월_여_14세","2022년08월_여_15세","2022년08월_여_16세","2022년08월_여_17세","2022년08월_여_18세","2022년08월_여_19세","2022년08월_여_20세","2022년08월_여_21세","2022년08월_여_22세","2022년08월_여_23세","2022년08월_여_24세","2022년08월_여_25세","2022년08월_여_26세","2022년08월_여_27세","2022년08월_여_28세","2022년08월_여_29세","2022년08월_여_30세","2022년08월_여_31세","2022년08월_여_32세","2022년08월_여_33세","2022년08월_여_34세","2022년08월_여_35세","2022년08월_여_36세","2022년08월_여_37세","2022년08월_여_38세","2022년08월_여_39세","2022년08월_여_40세","2022년08월_여_41세","2022년08월_여_42세","2022년08월_여_43세","2022년08월_여_44세","2022년08월_여_45세","2022년08월_여_46세","2022년08월_여_47세","2022년08월_여_48세","2022년08월_여_49세","2022년08월_여_50세","2022년08월_여_51세","2022년08월_여_52세","2022년08월_여_53세","2022년08월_여_54세","2022년08월_여_55세","2022년08월_여_56세","2022년08월_여_57세","2022년08월_여_58세","2022년08월_여_59세","2022년08월_여_60세","2022년08월_여_61세","2022년08월_여_62세","2022년08월_여_63세","2022년08월_여_64세","2022년08월_여_65세","2022년08월_여_66세","2022년08월_여_67세","2022년08월_여_68세","2022년08월_여_69세","2022년08월_여_70세","2022년08월_여_71세","2022년08월_여_72세","2022년08월_여_73세","2022년08월_여_74세","2022년08월_여_75세","2022년08월_여_76세","2022년08월_여_77세","2022년08월_여_78세","2022년08월_여_79세","2022년08월_여_80세","2022년08월_여_81세","2022년08월_여_82세","2022년08월_여_83세","2022년08월_여_84세","2022년08월_여_85세","2022년08월_여_86세","2022년08월_여_87세","2022년08월_여_88세","2022년08월_여_89세","2022년08월_여_90세","2022년08월_여_91세","2022년08월_여_92세","2022년08월_여_93세","2022년08월_여_94세","2022년08월_여_95세","2022년08월_여_96세","2022년08월_여_97세","2022년08월_여_98세","2022년08월_여_99세","2022년08월_여_100세 이상"
"전국  (0000000000)","25,699,579","25,699,579","124,233","138,089","146,778","161,259","175,740","194,062","218,737","228,058","225,675","235,208","247,603","252,154","234,829","233,995","249,889","244,409","229,409","229,925","250,632","250,150","268,189","308,074","329,090","324,182","338,503","350,850","365,293","370,153","376,942","382,699","378,116","347,819","340,950","330,228","316,832","317,873","329,763","332,152","353,602","390,088","421,636","429,144","426,751","398,839","381,498","384,898","381,842","407,085","445,316","447,424","452,420","479,832","453,505","469,660","442,532","417,444","420,909","416,637","383,895","435,423","406,616","467,281","438,118","394,306","366,631","356,004","322,135","326,197","263,871","241,623","250,651","185,690","201,247","197,926","192,485","183,055","127,848","136,567","126,607","135,431","137,012","106,332","91,901","84,436","71,021","60,228","49,891","41,142","31,407","23,639","18,268","12,254","9,178","7,846","5,119","3,412","2,027","1,506","1,130","1,087","1,532","25,858,862","25,858,862","118,791","131,328","139,602","152,553","166,721","183,851","209,160","217,282","214,599","224,486","234,551","238,250","220,985","220,622","235,779","230,686","214,601","214,872","233,192","232,313","246,907","284,210","302,613","296,654","313,154","325,289","329,266","328,103","333,454","339,485","342,358","317,258","308,088","300,376","296,476","302,005","309,452","314,290","337,475","375,354","407,344","408,915","414,652","388,402","369,836","370,729","368,729","397,363","431,864","439,756","432,859","464,138","441,099","464,707","442,297","414,291","402,126","414,246","376,974","420,838","401,829","477,765","455,483","404,696","372,742","367,655","338,798","352,767","284,251","264,799","276,206","208,724","228,325","227,729","223,915","220,615","154,253","175,130","172,922","189,719","197,803","161,962","148,897","143,862","127,819","116,112","104,596","92,630","76,396","62,906","52,628","39,634","33,958","26,796","20,452","14,519","9,434","6,782","4,346","4,414","6,937"
"서울특별시  (1100000000)","4,601,295","4,601,295","21,115","23,013","23,458","25,684","26,926","29,115","33,125","34,405","34,172","35,784","37,526","38,155","36,187","36,346","39,714","39,133","36,951","37,434","41,351","41,960","44,702","52,235","58,066","60,160","65,275","70,459","76,652","79,900","83,359","85,408","84,233","77,554","74,448","71,598","67,149","66,039","66,334","65,641","68,565","72,411","76,366","77,515","75,788","70,255","65,891","67,067","66,636","70,769","76,959","77,814","80,135","84,265","79,074","80,112","74,196","69,027","68,882","69,159","64,909","72,003","66,886","74,936","72,363","66,680","62,926","61,067","56,352","58,313","47,491","44,195","45,083","33,318","37,358","36,292","35,845","35,025","24,977","26,545","24,217","25,689","25,859","20,153","16,759","15,117","12,678","10,397","8,569","6,954","5,131","3,951","3,145","2,102","1,649","1,474","978","664","392","301","240","246","414","4,887,159","4,887,159","19,816","21,718","22,053","23,561","25,352","27,939","31,868","32,984","32,286","33,944","35,652","36,056","34,350","34,508","37,293","37,065","34,847","35,342","39,941","42,519","47,903","57,329","64,726","68,421","75,584","81,289","84,308","83,789","85,339","86,232","85,590","77,728","73,676","70,741","67,623","66,627","66,629","65,889","68,119","72,728","77,019","76,643","77,925","72,243","67,862","69,172","67,877","72,534","78,480","80,537","80,895","85,524","80,796","82,767","77,683","72,245","69,210","72,560","67,888","74,192","69,736","82,673","81,323","73,339","69,109","69,132","63,905","67,549","54,665","50,819","51,556","38,850","43,812","43,473","42,936","42,906","30,987","32,454","30,864","31,965","32,838","26,299","23,306","21,913","19,242","17,204","15,076","13,168","10,752","8,896","7,368","5,718","4,987","4,157","3,135","2,326","1,504","1,032","773","704","1,292"
"부산광역시  (2600000000)","1,627,821","1,627,821","6,955","7,769","8,336","9,051","10,499","11,485","13,153","13,577","13,530","13,736","14,401","14,403","13,341","13,024","13,855","13,407","12,639","12,867","14,145","14,381","15,288","18,607","20,572","20,258","21,272","21,849","22,670","22,247","22,498","23,014","22,632","20,795","20,674","19,679","18,709","18,550","19,457","19,736","21,256","23,505","25,794","26,958","27,087","24,690","23,489","23,151","22,499","24,510","26,640","26,721","27,140","28,498","27,459","28,415","27,073","25,731","26,094","24,980","24,061","28,302","27,219","31,401","30,057","27,960","26,669","26,720","24,560","25,422","21,107","19,297","19,853","15,573","16,247","15,859","15,364","14,077","9,742","10,879","10,068","10,628","10,036","7,933","6,756","5,996","4,752","4,025","3,158","2,496","1,904","1,390","1,059","728","505","453","285","167","106","65","60","45","86","1,703,623","1,703,623","6,703","7,267","7,862","8,801","9,865","11,028","12,522","12,896","12,708","13,053","13,660","13,935","12,269","12,460","13,111","12,701","11,879","12,107","13,276","13,504","14,831","17,757","19,413","18,973","20,029","20,623","20,634","20,471","20,972","20,870","21,153","19,302","18,959","18,395","17,845","18,036","18,223","18,811","20,441","23,184","25,115","26,061","26,278","24,345","22,651","22,257","22,101","24,437","26,402","27,184","27,159","29,247","28,285","29,698","28,794","27,630","26,947","27,360","25,647","30,003","29,543","35,711","34,224","30,939","29,291","29,632","28,002","29,086","23,233","22,578","22,826","18,136","19,257","19,219","18,706","17,345","11,451","13,695","13,117","14,215","13,933","11,881","10,531","9,777","8,316","7,412","6,524","5,800","4,559","3,687","3,170","2,310","1,841","1,609","1,289","885","531","407","245","231","349"
"대구광역시  (2700000000)","1,167,564","1,167,564","5,094","5,694","6,405","7,115","7,876","8,831","10,097","10,441","10,190","10,689","11,296","11,341","10,613","10,596","11,535","11,067","10,729","10,965","12,174","12,339","13,122","15,114","16,547","15,639","16,351","16,327","16,718","16,420","16,513","16,612","16,744","15,155","15,237","14,622","13,617","13,766","14,284","13,973","14,747","16,248","17,772","18,425","18,234","17,268","16,605","17,128","17,198","18,365","20,014","20,255","20,681","21,668","21,055","21,635","21,517","19,851","19,822","19,411","18,032","20,341","19,434","21,667","19,903","18,358","16,162","16,455","14,968","14,678","11,994","11,784","12,042","8,889","9,456","9,760","8,876","7,960","5,144","5,792","5,935","6,499","6,275","4,734","4,156","3,788","3,080","2,705","2,235","1,861","1,384","1,031","849","494","295","277","193","116","69","55","34","26","31","1,204,372","1,204,372","4,866","5,342","6,040","6,549","7,591","8,508","9,631","9,973","9,819","10,152","10,825","10,621","9,921","9,925","10,590","10,702","9,807","10,044","11,060","11,161","11,699","13,768","14,743","13,647","14,188","14,959","14,674","14,506","14,361","14,383","14,387","13,044","12,854","12,294","11,701","12,273","12,509","12,833","14,229","16,665","18,001","18,548","18,740","17,689","16,787","17,298","17,463","19,064","20,811","21,426","21,348","22,457","22,012","22,832","22,237","21,123","20,252","20,764","19,014","20,915","20,252","23,480","22,173","19,862","16,921","17,811","16,439","17,068","13,614","14,233","14,419","10,785","11,125","12,124","11,282","10,384","6,520","7,975","8,749","9,261","9,141","7,680","7,006","6,490","5,826","5,097","4,623","4,010","3,287","2,589","2,190","1,640","1,280","990","810","538","323","240","147","133","230"
"인천광역시  (2800000000)","1,483,370","1,483,370","7,308","8,045","8,811","9,733","10,290","11,324","12,706","13,415","13,062","13,633","14,301","14,991","13,570","13,574","14,305","14,292","13,090","12,999","14,094","14,201","15,219","17,297","18,642","18,340","19,311","20,513","21,365","21,986","23,005","23,528","23,384","21,774","20,815","20,209","19,008","18,984","19,984","20,261","21,449","23,699","25,797","26,370","26,174","24,205","22,990","22,888","22,523","24,312","25,944","26,145","26,224","27,575","26,156","26,875","25,302","24,125","24,424","25,068","23,340","26,563","24,447","27,708","26,035","22,989","21,106","19,885","17,535","17,626","13,786","12,520","12,912","8,827","10,327","9,778","9,648","9,204","6,494","6,567","6,151","6,354","6,195","4,729","4,079","3,780","3,226","2,523","2,252","1,840","1,336","1,065","786","576","357","376","262","189","86","76","51","81","89","1,479,747","1,479,747","7,160","7,643","8,194","9,230","9,633","10,820","12,180","12,789","12,378","13,114","13,552","13,976","12,872","12,942","13,704","13,374","12,497","12,351","13,409","13,283","14,083","15,967","17,103","17,093","18,306","19,294","19,680","19,843","20,517","21,099","21,484","19,724","18,972","18,220","17,786","17,928","18,629","18,850","20,119","22,534","24,265","24,597","24,683","22,756","22,167","21,544","21,112","23,360","24,832","25,765","25,358","27,003","25,992","27,511","26,540","24,605","24,420","25,591","23,331","25,799","24,352","27,559","26,412","23,062","21,331","20,338","18,242","18,803","14,784","13,422","13,700","9,650","10,960","11,175","10,883","11,257","7,811","8,296","7,944","8,821","9,086","7,426","6,622","6,577","5,800","5,288","4,835","4,225","3,478","3,053","2,573","1,936","1,713","1,358","968","779","484","403","223","211","344"
"광주광역시  (2900000000)","709,090","709,090","3,754","4,150","4,164","4,659","5,363","5,925","6,608","6,977","6,962","7,421","7,724","7,895","7,481","7,376","8,072","8,066","7,423","7,501","8,217","8,311","8,847","10,264","10,780","10,390","10,797","11,037","10,958","10,700","10,681","10,533","10,307","9,113","8,973","8,390","8,170","8,210","8,670","8,836","9,810","11,009","11,978","11,541","11,793","11,332","10,708","11,165","11,053","11,560","12,929","12,706","12,540","13,410","12,520","12,610","12,323","11,230","11,571","10,629","10,024","11,078","9,627","11,026","10,733","9,412","8,576","8,121","7,289","7,438","5,787","5,259","5,721","4,814","4,882","4,925","4,585","4,582","3,353","3,384","3,008","3,275","3,574","2,518","2,206","1,959","1,704","1,427","1,090","945","766","501","403","260","231","194","100","73","40","26","16","14","22","725,307","725,307","3,561","3,965","4,137","4,524","4,994","5,445","6,463","6,482","6,648","6,893","7,248","7,408","6,978","7,006","7,488","7,474","6,965","7,010","7,570","7,634","8,246","9,483","9,925","9,747","9,890","9,980","10,015","10,049","9,489","9,464","9,516","8,498","8,084","7,870","7,776","8,009","8,429","8,523","9,468","10,701","11,908","11,385","12,056","11,687","11,059","11,145","11,033","11,778","12,885","13,090","12,755","13,588","12,596","12,932","12,536","11,424","11,592","11,023","10,127","11,095","10,071","11,716","11,739","10,306","9,492","8,973","7,797","8,400","6,727","6,237","6,700","5,788","5,942","6,065","5,828","5,851","4,108","4,516","4,068","4,416","4,927","3,973","3,521","3,182","3,000","2,679","2,226","2,107","1,776","1,402","1,110","933","898","569","441","314","225","162","74","131","168"
"대전광역시  (3000000000)","722,486","722,486","3,827","4,108","4,160","4,483","4,974","5,620","6,297","6,639","6,460","6,808","7,115","7,398","6,800","6,836","7,520","7,425","6,941","7,132","7,781","7,597","8,286","9,488","10,395","10,656","11,012","11,506","11,714","11,861","11,587","11,708","11,278","10,251","10,146","9,752","9,460","9,178","9,389","9,170","9,549","10,653","11,333","11,582","11,368","10,889","10,560","10,764","10,614","11,428","12,626","12,579","12,626","13,541","12,884","13,627","12,432","11,387","10,922","11,273","9,949","11,173","10,987","12,632","11,546","10,079","9,435","9,509","8,488","8,530","6,844","6,170","6,372","4,687","5,282","5,053","4,697","4,320","3,134","3,293","3,261","3,250","3,457","2,499","2,110","2,023","1,791","1,446","1,181","967","787","622","462","289","223","181","125","86","49","37","20","16","29","725,754","725,754","3,590","3,851","3,925","4,398","4,681","5,410","5,936","6,186","6,132","6,543","6,546","6,911","6,421","6,483","6,951","6,976","6,492","6,483","7,239","7,240","7,954","9,360","9,848","9,685","10,132","10,501","10,238","10,023","10,130","10,029","9,960","9,315","8,646","8,304","8,183","8,413","8,540","8,607","9,178","10,140","11,243","11,477","11,441","10,998","10,718","10,942","10,820","11,456","12,741","13,011","12,370","13,456","12,503","13,718","12,860","11,547","10,595","11,628","10,043","11,179","11,088","13,357","12,439","10,842","9,874","9,701","9,167","9,392","7,685","6,603","6,984","5,236","5,999","5,757","5,465","5,220","3,677","4,285","4,247","4,530","4,785","3,746","3,341","3,410","2,990","2,674","2,458","2,162","1,793","1,428","1,224","899","784","630","505","325","210","149","109","108","150"
"울산광역시  (3100000000)","571,867","571,867","2,747","3,194","3,370","3,805","4,214","4,858","5,477","5,754","5,620","5,757","6,046","6,142","5,709","5,735","5,889","5,877","5,340","5,368","5,772","5,612","6,028","6,944","7,277","6,970","7,332","7,783","7,980","7,968","7,952","8,203","8,060","7,296","7,512","7,392","6,965","7,067","7,252","7,362","7,908","8,927","9,612","10,030","10,073","9,164","8,928","8,912","8,380","8,986","9,564","9,735","9,910","10,603","10,267","10,852","10,664","10,276","10,926","10,525","9,389","10,652","9,878","11,263","9,945","9,049","8,242","7,766","6,906","6,907","5,605","5,140","5,025","3,975","3,846","3,842","3,570","3,098","1,980","2,213","1,928","2,196","1,927","1,472","1,272","1,098","831","689","535","479","393","281","191","121","81","90","39","29","19","12","11","7","4","541,591","541,591","2,667","3,000","3,391","3,580","4,044","4,514","5,049","5,353","5,402","5,535","5,580","5,681","5,198","5,173","5,640","5,339","4,937","4,779","5,031","4,629","4,836","5,337","5,793","5,450","5,745","5,935","5,908","6,046","6,146","6,331","6,420","6,244","6,185","5,961","5,840","6,141","6,504","6,553","7,412","8,291","9,223","9,192","9,362","8,706","8,195","8,056","8,007","8,878","9,594","9,835","9,965","10,741","10,394","11,178","10,748","10,297","9,920","9,843","8,920","9,635","9,158","10,999","9,781","8,804","8,021","7,775","7,030","7,038","5,670","5,245","5,140","3,996","3,977","3,868","3,754","3,342","2,148","2,629","2,567","2,922","2,739","2,163","2,119","1,850","1,719","1,546","1,403","1,200","1,047","858","688","524","387","355","263","181","124","97","65","49","61"
"세종특별자치시  (3600000000)","190,276","190,276","1,584","1,825","1,898","2,153","2,338","2,507","2,832","2,888","2,796","2,868","2,964","2,953","2,689","2,645","2,533","2,388","2,215","1,985","1,954","1,771","1,870","1,950","1,975","1,814","1,842","1,828","1,955","2,098","2,229","2,452","2,593","2,463","2,658","2,783","2,880","3,057","3,127","3,289","3,411","3,657","4,240","4,197","4,260","3,935","3,576","3,629","3,373","3,616","3,714","3,517","3,466","3,438","3,051","3,032","2,703","2,372","2,212","2,284","2,011","2,237","2,015","2,433","2,099","1,916","1,727","1,661","1,619","1,582","1,221","1,059","1,107","786","930","923","767","720","500","517","508","503","546","422","343","329","285","247","218","170","159","98","73","62","47","32","21","20","8","8","3","4","8","191,163","191,163","1,563","1,810","1,859","2,071","2,259","2,464","2,660","2,764","2,659","2,764","2,789","2,762","2,593","2,614","2,698","2,435","2,176","1,990","2,021","1,758","1,645","1,712","1,767","1,697","1,687","1,773","1,870","2,010","2,242","2,487","2,706","2,833","2,797","2,765","2,978","3,149","3,177","3,325","3,559","4,075","4,490","4,324","4,259","4,089","3,705","3,551","3,310","3,375","3,484","3,163","2,904","3,085","2,656","2,744","2,496","2,268","2,056","2,179","1,891","2,047","1,962","2,371","2,177","1,984","1,742","1,745","1,593","1,638","1,295","1,113","1,190","862","973","979","809","838","588","646","687","686","721","648","588","584","507","466","486","453","361","331","265","196","161","155","120","70","36","30","16","28","24"
"경기도  (4100000000)","6,840,757","6,840,757","37,522","40,996","43,309","47,923","51,540","57,180","63,779","66,796","65,193","67,698","71,083","72,045","66,647","66,431","70,645","68,372","63,666","62,952","69,225","69,704","73,208","83,011","87,957","87,027","91,605","95,519","99,060","101,679","103,657","106,295","105,798","97,999","95,114","93,257","90,453","90,906","94,374","95,418","101,374","112,376","121,777","123,332","122,102","113,577","108,251","109,016","107,728","113,489","123,242","122,988","125,014","130,561","122,874","125,488","116,034","109,501","109,772","109,896","100,804","111,971","102,532","116,396","108,168","95,868","88,849","82,558","74,086","74,219","58,877","53,633","54,473","37,827","41,693","41,131","40,832","39,534","28,349","29,533","26,798","27,869","28,562","22,653","19,260","17,589","15,182","12,891","10,501","8,796","6,703","5,041","3,965","2,680","2,126","1,718","1,132","727","482","334","293","283","404","6,749,299","6,749,299","35,589","39,279","41,691","45,131","49,302","53,942","61,522","63,537","62,517","64,861","67,837","68,547","63,401","63,209","67,343","65,362","60,202","60,242","65,318","64,546","66,850","76,504","80,653","79,649","84,605","86,564","87,569","87,781","89,595","91,979","93,683","88,626","86,104","85,038","84,640","85,908","88,600","90,172","96,134","106,723","116,106","117,540","117,705","110,223","104,573","104,752","103,772","110,296","119,608","120,793","119,669","127,187","119,274","125,246","117,430","108,880","104,594","107,476","96,778","106,116","99,384","115,338","107,586","95,453","87,231","83,421","76,251","78,328","62,179","57,184","58,934","42,239","47,210","46,924","46,915","47,271","34,219","37,329","35,981","38,056","39,610","32,864","29,869","28,758","25,743","23,526","21,005","18,598","15,311","12,618","10,529","7,905","6,961","5,584","4,330","3,082","1,986","1,474","963","892","1,485"
